0	-0.731	-0.682
1	-1.497	-1.325
2	-1.872	-2.252
3	-2.164	-1.296
4	-3.157	-1.174
5	-3.000	-2.161
6	-2.966	-1.162
7	-3.608	-1.928
8	-2.612	-2.015
9	-1.618	-1.911
10	-1.195	-1.004
11	-0.201	-0.900
12	-0.322	-1.892
13	-0.114	-2.871
14	0.860	-3.096
15	1.567	-2.388
16	2.344	-3.018
17	2.292	-2.019
18	1.393	-1.581
19	1.878	-2.455
20	1.773	-1.461
21	1.200	-0.642
22	0.352	-0.112
23	-0.380	0.570
24	-0.519	1.560
25	0.040	0.731
26	0.974	0.373
27	1.948	0.598
28	1.404	-0.241
29	0.627	0.389
30	1.518	-0.065
31	2.479	0.210
32	2.601	1.203
33	1.726	1.688
34	2.719	1.566
35	2.219	2.432
36	1.464	3.088
37	1.239	2.113
38	0.637	2.912
39	1.266	2.135
40	0.892	1.208
41	0.996	0.213
42	-0.001	0.283
43	0.999	0.266
44	0.514	1.140
45	-0.413	0.766
46	-0.755	1.705
47	0.054	1.118
48	-0.321	0.190
49	0.653	-0.035
50	0.094	-0.864
51	0.485	0.057
52	1.087	-0.742
53	0.499	0.067
54	1.473	0.292
55	2.407	-0.066
56	2.182	0.908
57	1.608	0.089
58	2.407	0.691
59	1.778	1.468
60	0.793	1.294
61	-0.200	1.416
62	0.740	1.074
63	1.710	0.832
64	2.519	1.420
65	1.606	1.827
66	1.449	0.839
67	1.934	-0.036
68	0.936	0.017
69	0.545	0.937
70	0.203	-0.002
71	0.029	-0.987
72	-0.932	-0.712
73	-1.639	-0.004
74	-0.820	0.569
75	-1.776	0.862
76	-2.596	1.435
77	-2.508	2.431
78	-1.509	2.396
79	-2.479	2.154
80	-2.105	3.082
81	-2.589	2.207
82	-3.488	1.769
83	-4.307	2.342
84	-3.374	2.701
85	-2.679	1.981
86	-1.746	1.623
87	-1.051	2.342
88	-0.090	2.618
89	-0.909	3.191
90	0.047	2.899
91	0.779	3.581
92	-0.040	3.007
93	-0.931	3.461
94	-0.004	3.836
95	-0.813	3.248
96	-1.038	2.274
97	-1.959	2.665
98	-1.584	1.737
99	-2.172	2.546
100	-2.828	3.301
101	-2.085	3.970
102	-1.256	3.411
103	-2.162	2.989
104	-3.161	3.023
105	-4.107	3.349
106	-5.034	3.724
107	-5.472	4.622
108	-6.167	5.342
109	-5.925	4.371
110	-6.379	5.262
111	-7.178	5.864
112	-8.052	5.379
113	-7.101	5.688
114	-7.930	6.248
115	-6.991	6.590
116	-7.820	7.149
117	-8.639	6.575
118	-9.184	7.414
119	-10.140	7.122
120	-9.170	6.880
121	-8.304	7.380
122	-8.321	6.380
123	-8.147	5.395
124	-8.217	4.397
125	-7.658	3.568
126	-8.217	2.739
127	-7.360	3.254
128	-6.378	3.064
129	-5.378	3.046
130	-5.086	2.090
131	-6.076	2.229
132	-7.071	2.334
133	-6.137	1.975
134	-5.998	0.985
135	-6.189	1.967
136	-7.095	2.389
137	-7.777	3.121
138	-8.554	2.491
139	-9.429	2.006
140	-10.335	1.584
141	-11.333	1.654
142	-11.315	0.654
143	-11.945	1.431
144	-12.915	1.673
145	-13.836	1.282
146	-12.857	1.490
147	-12.840	0.490
148	-13.325	1.365
149	-14.319	1.469
150	-15.118	0.867
151	-15.663	1.706
152	-15.020	0.940
153	-16.010	1.079
154	-16.867	1.594
155	-16.413	0.703
156	-16.500	-0.293
157	-17.116	-1.081
158	-17.186	-0.083
159	-16.265	0.307
160	-15.765	1.173
161	-16.731	1.432
162	-15.954	0.803
163	-15.424	-0.045
164	-15.320	0.949
165	-14.565	0.293
166	-14.530	1.293
167	-14.617	2.289
168	-14.893	3.250
169	-15.267	4.177
170	-15.869	4.976
171	-15.765	5.970
172	-15.626	6.961
173	-14.906	6.266
174	-14.118	5.650
175	-13.603	4.793
176	-13.073	3.945
177	-14.013	4.287
178	-13.013	4.270
179	-12.331	5.001
180	-11.831	5.867
181	-11.709	4.875
182	-11.709	5.875
183	-11.302	6.788
184	-10.310	6.666
185	-9.667	7.432
186	-10.655	7.276
187	-10.464	6.294
188	-10.620	7.282
189	-9.626	7.386
190	-10.539	6.980
191	-10.747	6.002
192	-9.751	6.089
193	-8.800	5.780
194	-7.834	5.521
195	-6.986	6.051
196	-6.167	5.477
197	-6.682	6.334
198	-7.581	6.773
199	-8.542	7.048
200	-9.538	6.961
201	-9.330	7.939
202	-8.439	8.393
203	-8.846	9.307
204	-9.842	9.394
205	-9.617	8.420
206	-10.614	8.333
207	-10.423	7.351
208	-9.703	8.046
209	-9.945	7.075
210	-10.941	7.162
211	-10.299	6.396
212	-9.725	7.216
213	-8.731	7.111
214	-7.749	6.920
215	-7.940	7.902
216	-6.989	7.593
217	-7.827	8.137
218	-8.218	9.058
219	-7.876	9.998
220	-6.920	9.705
221	-7.811	10.159
222	-8.677	10.659
223	-8.625	9.661
224	-9.344	8.966
225	-10.087	9.635
226	-11.080	9.513
227	-10.231	8.983
228	-10.622	8.063
229	-9.671	7.754
230	-10.546	7.269
231	-11.015	8.152
232	-10.102	7.745
233	-9.679	6.839
234	-9.149	5.991
235	-8.351	5.389
236	-9.128	6.018
237	-9.550	6.925
238	-10.525	6.700
239	-11.040	5.843
240	-10.333	6.550
241	-9.833	7.416
242	-10.434	8.214
243	-11.064	7.437
244	-12.003	7.779
245	-11.112	7.325
246	-11.932	6.752
247	-12.588	7.506
248	-12.181	6.593
249	-13.020	7.137
250	-13.504	6.263
251	-14.078	5.444
252	-14.165	6.440
253	-14.884	5.745
254	-14.478	4.832
255	-15.377	5.270
256	-16.373	5.183
257	-17.312	5.525
258	-17.295	4.525
259	-16.302	4.647
260	-16.709	3.733
261	-17.148	2.835
262	-16.416	3.517
263	-15.697	2.822
264	-15.421	1.861
265	-16.116	1.141
266	-16.759	1.907
267	-15.868	2.361
268	-15.059	1.774
269	-14.364	1.054
270	-13.394	1.296
271	-14.393	1.279
272	-13.502	1.733
273	-14.280	2.362
274	-13.471	2.950
275	-13.178	3.906
276	-12.340	4.451
277	-12.746	3.537
278	-12.052	4.257
279	-12.344	3.300
280	-11.359	3.474
281	-10.385	3.699
282	-9.729	4.454
283	-9.607	3.461
284	-10.326	2.766
285	-10.995	2.023
286	-10.104	1.569
287	-11.104	1.552
288	-11.847	0.883
289	-12.625	0.253
290	-13.624	0.288
291	-13.109	1.145
292	-12.280	0.586
293	-12.315	-0.413
294	-13.069	-1.069
295	-13.685	-1.857
296	-13.650	-2.857
297	-12.737	-3.263
298	-11.739	-3.194
299	-10.747	-3.316
300	-10.065	-4.047
301	-9.299	-3.404
302	-9.386	-2.408
303	-8.901	-3.283
304	-9.720	-3.856
305	-9.737	-4.856
306	-8.949	-5.472
307	-9.324	-4.544
308	-8.384	-4.202
309	-9.116	-4.884
310	-9.375	-5.850
311	-8.555	-5.277
312	-9.483	-4.902
313	-8.492	-5.041
314	-7.626	-5.541
315	-7.268	-4.608
316	-7.768	-3.742
317	-7.611	-4.729
318	-6.666	-4.404
319	-6.908	-3.434
320	-6.960	-2.435
321	-6.278	-1.704
322	-6.174	-0.709
323	-5.454	-0.014
324	-5.559	0.980
325	-6.132	0.161
326	-5.840	-0.795
327	-6.231	-1.716
328	-5.536	-2.435
329	-5.145	-3.356
330	-4.691	-4.247
331	-4.552	-5.237
332	-3.646	-4.814
333	-2.648	-4.884
334	-3.447	-5.486
335	-3.621	-6.471
336	-3.743	-7.463
337	-4.462	-6.769
338	-5.407	-7.094
339	-5.338	-8.092
340	-5.062	-7.130
341	-5.817	-6.474
342	-6.390	-7.294
343	-5.696	-8.013
344	-6.102	-7.099
345	-6.444	-8.039
346	-5.762	-8.770
347	-6.601	-9.315
348	-7.320	-10.010
349	-7.963	-10.776
350	-8.433	-11.659
351	-9.140	-12.366
